municerca,fecha_agg,sexo,edad_diagnostico,lon,lat,distancia_rio,distancia_verde_m,distancia_grande_m,tp,t2m,d2m,t2m_min,t2m_max,tp_anom,t2m_anom,d2m_anom,t2m_min_anom,t2m_max_anom,casos,Estimación poblacional,Superficie (Km cuadrados),Proximidad al río (m) (distancia mínima),Proximidad al río (m) (distancia al centroide),Proximidad al río (m) (distancia máxima),Densidad poblacional,CALMAT I,CALMAT II,CALMAT III,CALMAT IV,CALMAT V,Hogares Pobres,Hogares Pobres No Indigentes,Hogares Indigentes,Personas Pobres,Personas Pobres No Indigentes,Personas Indigentes,UNEA: Sin Instrucción,UNEA: Primario Incompleto,UNEA: Primario Completo,UNEA: Secundario Incompleto,UNEA: Secundario Completo,UNEA: Superior y/o Universitario Incompleto,UNEA: Superior y/o Universitario Completo,Acceso a Cloacas,Acceso a Gas de Red,Acceso a Agua de Red,Acceso a Electricidad,Mujeres (%),Varones (%),Mujeres de 0 a 6 años,Varones de 0 a 6 años,Personas de 0 a 6 años,Mujeres de 7 a 14 años,Varones de 7 a 14 años,Personas de 7 a 14 años,Mujeres de 15 a 24 años,Varones de 15 a 24 años,Personas de 15 a 24 años,Mujeres de 25 a 59 años,Varones de 25 a 59 años,Personas de 25 a 59 años,Mujeres de 60 años o más,Varones de 60 años o más,Personas de 60 años o más,casos_sum_2w,casos_sum_3w,casos_sum_4w,casos_lag_1,casos_lag_2,casos_lag_3,casos_lag_4,casos_ma_4,tp_mean_1w,tp_sum_1w,tp_mean_2w,tp_sum_2w,t2m_mean_1w,t2m_mean_2w,d2m_mean_1w,d2m_mean_2w,t2m_min_mean_1w,t2m_min_mean_2w,t2m_max_mean_1w,t2m_max_mean_2w,tp_anom_mean_1w,tp_anom_sum_1w,tp_anom_mean_2w,tp_anom_sum_2w,t2m_anom_mean_1w,t2m_anom_mean_2w,d2m_anom_mean_1w,d2m_anom_mean_2w,t2m_min_anom_mean_1w,t2m_min_anom_mean_2w,t2m_max_anom_mean_1w,t2m_max_anom_mean_2w,vec_lag1,vec_lag2,vec_lag3,vec_sum_2w,vec_sum_3w,Vecinos_total
MUNICERCA 2,2023-12,0.0,12.0,-63.2554567,-32.3984587,1907.9406966694607,76.47290787160424,2123.4885910794233,6.01654808185907,23.71554212896137,12.592555787888005,19.097195139790802,28.663150800057785,3.6122067318599598,-3.348881008279571,-1.8587995369631376,-1.9459414568888862,-4.427227007559405,1,8733,356.174623,1375.55,2774.8,3903.39,24.5188720253099,82.86,15.71,1.43,0,0,21.43,18.57,2.86,25.0,19.79,5.21,1.63,8.13,16.26,14.63,14.63,13.82,30.89,98.57,91.43,97.14,100.0,50.0,50.0,1.05,1.58,2.63,5.26,6.32,11.58,9.47,11.58,21.05,18.95,21.06,40.01,15.26,9.47,24.73,,,,,,,,,6.01654808185907,6.01654808185907,3.1465073465476303,6.293014693095261,23.71554212896137,25.104403969809287,12.592555787888005,14.960553713486064,19.097195139790802,20.221876521143475,28.663150800057785,30.239297748436,3.6122067318599598,3.6122067318599598,-3.9724626071171354,-7.944925214234271,-3.348881008279571,-1.7862698047661452,-1.8587995369631376,-0.529436104129476,-1.9459414568888862,-0.7764660837207357,-4.427227007559405,-2.489242308791725,,,,,,
MUNICERCA 2,2024-01,0.5,35.75,-63.254549725000004,-32.39856035,1911.9928548415437,90.72126200917123,2127.594540679052,0.2764666112361905,26.493265810657203,17.32855163908412,21.346557902496148,31.815444696814218,-11.55713194609423,-0.22365860125271964,0.7999273287041857,0.3930092894474148,-0.5512576100240452,4,8733,356.174623,1375.55,2774.8,3903.39,24.5188720253099,82.86,15.71,1.43,0,0,21.43,18.57,2.86,25.0,19.79,5.21,1.63,8.13,16.26,14.63,14.63,13.82,30.89,98.57,91.43,97.14,100.0,50.0,50.0,1.05,1.58,2.63,5.26,6.32,11.58,9.47,11.58,21.05,18.95,21.06,40.01,15.26,9.47,24.73,,,,1.0,,,,,6.01654808185907,6.01654808185907,3.1465073465476303,6.293014693095261,23.71554212896137,25.104403969809287,12.592555787888005,14.960553713486064,19.097195139790802,20.221876521143475,28.663150800057785,30.239297748436,3.6122067318599598,3.6122067318599598,-3.9724626071171354,-7.944925214234271,-3.348881008279571,-1.7862698047661452,-1.8587995369631376,-0.529436104129476,-1.9459414568888862,-0.7764660837207357,-4.427227007559405,-2.489242308791725,2.0,,,,,
MUNICERCA 2,2024-02,0.42105263157894735,43.78947368421053,-63.25124468947369,-32.39478443157895,2408.9814858540203,84.65943231246334,1752.7380661337054,74.18056133088382,24.55998293701206,18.726128506960062,20.196343472535563,29.698275067148476,23.103056421421694,0.012447637454366622,0.5975720323524714,0.030111797359669578,0.12630437401753428,19,8733,356.174623,1375.55,2774.8,3903.39,24.5188720253099,82.86,15.71,1.43,0,0,21.43,18.57,2.86,25.0,19.79,5.21,1.63,8.13,16.26,14.63,14.63,13.82,30.89,98.57,91.43,97.14,100.0,50.0,50.0,1.05,1.58,2.63,5.26,6.32,11.58,9.47,11.58,21.05,18.95,21.06,40.01,15.26,9.47,24.73,5.0,,,4.0,1.0,,,,0.2764666112361905,0.2764666112361905,3.1465073465476303,6.293014693095261,26.493265810657203,25.104403969809287,17.32855163908412,14.960553713486064,21.346557902496148,20.221876521143475,31.815444696814218,30.239297748436,-11.55713194609423,-11.55713194609423,-3.9724626071171354,-7.944925214234271,-0.22365860125271964,-1.7862698047661452,0.7999273287041857,-0.529436104129476,0.3930092894474148,-0.7764660837207357,-0.5512576100240452,-2.489242308791725,15.0,2.0,,17.0,,
MUNICERCA 2,2024-03,0.39436619718309857,37.04225352112676,-63.25049866901408,-32.39586793943662,2311.887851517603,67.4494749658802,1859.679756482281,38.795323536787684,23.884793251037188,18.69641976722835,20.139534743599487,28.61436666276381,-2.161243772404286,2.4667022599886286,3.8438332669306576,2.681363750409446,2.6278464823824796,71,8733,356.174623,1375.55,2774.8,3903.39,24.5188720253099,82.86,15.71,1.43,0,0,21.43,18.57,2.86,25.0,19.79,5.21,1.63,8.13,16.26,14.63,14.63,13.82,30.89,98.57,91.43,97.14,100.0,50.0,50.0,1.05,1.58,2.63,5.26,6.32,11.58,9.47,11.58,21.05,18.95,21.06,40.01,15.26,9.47,24.73,23.0,24.0,,19.0,4.0,1.0,,,74.18056133088382,74.18056133088382,37.22851397106,74.45702794212,24.55998293701206,25.52662437383463,18.726128506960062,18.027340073022092,20.196343472535563,20.771450687515856,29.698275067148476,30.75685988198135,23.103056421421694,23.103056421421694,5.772962237663732,11.545924475327464,0.012447637454366622,-0.10560548189917651,0.5975720323524714,0.6987496805283285,0.030111797359669578,0.2115605434035422,0.12630437401753428,-0.21247661800325546,85.0,15.0,2.0,100.0,102.0,102.0
MUNICERCA 2,2024-04,0.3884297520661157,34.81818181818182,-63.25019656280992,-32.395053243801655,2408.340211300462,65.50360854438124,1784.0896980014786,63.15609925987359,18.257153559086962,13.127009561919907,14.345896828207207,23.072397257863095,37.083689004278874,-0.14890800134854357,0.5578857475314958,0.07847580287935477,-0.24239330355721572,121,8733,356.174623,1375.55,2774.8,3903.39,24.5188720253099,82.86,15.71,1.43,0,0,21.43,18.57,2.86,25.0,19.79,5.21,1.63,8.13,16.26,14.63,14.63,13.82,30.89,98.57,91.43,97.14,100.0,50.0,50.0,1.05,1.58,2.63,5.26,6.32,11.58,9.47,11.58,21.05,18.95,21.06,40.01,15.26,9.47,24.73,90.0,94.0,95.0,71.0,19.0,4.0,1.0,23.75,38.795323536787684,38.795323536787684,56.487942433835755,112.97588486767151,23.884793251037188,24.222388094024623,18.69641976722835,18.711274137094204,20.139534743599487,20.167939108067525,28.61436666276381,29.156320864956143,-2.161243772404286,-2.161243772404286,10.470906324508704,20.941812649017407,2.4667022599886286,1.2395749487214975,3.8438332669306576,2.2207026496415647,2.681363750409446,1.3557377738845577,2.6278464823824796,1.377075428200007,311.0,85.0,15.0,396.0,411.0,411.0
MUNICERCA 2,2024-05,0.0,51.0,-63.250993,-32.3966477,2189.5437772538803,101.54422531005552,1902.2370545297786,105.1288225684711,12.567646332327906,5.879960515011684,10.375801005710745,15.685905001414003,87.93144410605261,-2.9098803747915056,-2.901892011123231,-0.8493563293586984,-4.669082249020025,1,8733,356.174623,1375.55,2774.8,3903.39,24.5188720253099,82.86,15.71,1.43,0,0,21.43,18.57,2.86,25.0,19.79,5.21,1.63,8.13,16.26,14.63,14.63,13.82,30.89,98.57,91.43,97.14,100.0,50.0,50.0,1.05,1.58,2.63,5.26,6.32,11.58,9.47,11.58,21.05,18.95,21.06,40.01,15.26,9.47,24.73,192.0,211.0,215.0,121.0,71.0,19.0,4.0,53.75,63.15609925987359,63.15609925987359,50.97571139833064,101.95142279666128,18.257153559086962,21.070973405062077,13.127009561919907,15.911714664574127,14.345896828207207,17.242715785903346,23.072397257863095,25.84338196031345,37.083689004278874,37.083689004278874,17.461222615937295,34.92244523187459,-0.14890800134854357,1.1588971293200425,0.5578857475314958,2.2008595072310766,0.07847580287935477,1.3799197766444002,-0.24239330355721572,1.192726589412632,411.0,311.0,85.0,722.0,807.0,807.0
MUNICERCA 2,2024-10,1.0,43.0,-63.2572204,-32.3896179,2878.5529510415977,104.69842874209772,1214.2304229806623,0.01625702530145645,23.280694237852902,13.708164928761514,18.470926891724943,29.909144674812477,-3.691974129974066,2.328827240240056,2.532313808872361,3.847432425579114,1.8595536103593515,1,8733,356.174623,1375.55,2774.8,3903.39,24.5188720253099,82.86,15.71,1.43,0,0,21.43,18.57,2.86,25.0,19.79,5.21,1.63,8.13,16.26,14.63,14.63,13.82,30.89,98.57,91.43,97.14,100.0,50.0,50.0,1.05,1.58,2.63,5.26,6.32,11.58,9.47,11.58,21.05,18.95,21.06,40.01,15.26,9.47,24.73,122.0,193.0,212.0,1.0,121.0,71.0,19.0,53.0,105.1288225684711,105.1288225684711,84.14246091417235,168.2849218283447,12.567646332327906,15.412399945707435,5.879960515011684,9.503485038465794,10.375801005710745,12.360848916958975,15.685905001414003,19.37915112963855,87.93144410605261,87.93144410605261,62.50756655516574,125.01513311033148,-2.9098803747915056,-1.5293941880700246,-2.901892011123231,-1.1720031317958675,-0.8493563293586984,-0.38544026323967184,-4.669082249020025,-2.4557377762886206,0.0,0.0,1.0,0.0,1.0,1.0
MUNICERCA 2,2025-01,1.0,34.0,-63.24613915,-32.39406355,2623.4101206274695,23.549337596636917,1723.9588459067159,21.400612820107515,26.313722176247552,20.29386707575393,20.979005741733992,31.214210167253363,-24.610665881109643,0.42311647679919334,0.7042239095751867,0.07111505860527095,0.37043419098150804,2,8733,356.174623,1375.55,2774.8,3903.39,24.5188720253099,82.86,15.71,1.43,0,0,21.43,18.57,2.86,25.0,19.79,5.21,1.63,8.13,16.26,14.63,14.63,13.82,30.89,98.57,91.43,97.14,100.0,50.0,50.0,1.05,1.58,2.63,5.26,6.32,11.58,9.47,11.58,21.05,18.95,21.06,40.01,15.26,9.47,24.73,2.0,123.0,194.0,1.0,1.0,121.0,71.0,48.5,0.01625702530145645,0.01625702530145645,52.572539796886275,105.14507959377255,23.280694237852902,17.924170285090405,13.708164928761514,9.794062721886597,18.470926891724943,14.423363948717842,29.909144674812477,22.79752483811324,-3.691974129974066,-3.691974129974066,42.11973498803926,84.23946997607852,2.328827240240056,-0.2905265672757249,2.532313808872361,-0.18478910112543478,3.847432425579114,1.499038048110208,1.8595536103593515,-1.404764319330337,3.0,1.0,1.0,4.0,5.0,5.0
MUNICERCA 2,2025-02,0.5714285714285714,29.571428571428573,-63.25059904285714,-32.39564182857143,2314.998700693036,53.21619276005347,1809.9628854542086,66.27301873320428,26.94062491014559,19.77712297120983,22.718011587502826,32.348993778463246,0.8322959971151818,2.7609493931390623,2.1964418212881127,2.839552928648662,3.0201615457003492,7,8733,356.174623,1375.55,2774.8,3903.39,24.5188720253099,82.86,15.71,1.43,0,0,21.43,18.57,2.86,25.0,19.79,5.21,1.63,8.13,16.26,14.63,14.63,13.82,30.89,98.57,91.43,97.14,100.0,50.0,50.0,1.05,1.58,2.63,5.26,6.32,11.58,9.47,11.58,21.05,18.95,21.06,40.01,15.26,9.47,24.73,3.0,4.0,125.0,2.0,1.0,1.0,121.0,31.25,21.400612820107515,21.400612820107515,10.708434922704486,21.41686984540897,26.313722176247552,24.797208207050225,20.29386707575393,17.00101600225772,20.979005741733992,19.724966316729464,31.214210167253363,30.56167742103292,-24.610665881109643,-24.610665881109643,-14.151320005541855,-28.30264001108371,0.42311647679919334,1.3759718585196246,0.7042239095751867,1.6182688592237737,0.07111505860527095,1.9592737420921926,0.37043419098150804,1.1149939006704297,12.0,3.0,1.0,15.0,16.0,16.0
MUNICERCA 2,2025-03,0.5,42.25,-63.249873474999994,-32.39483384166667,2433.541665383459,70.6165063005662,1750.4020942342565,70.9747477039804,23.849347944204457,19.4193709505153,20.39125846816903,28.14464454138785,35.274913908255044,0.7985852308074656,2.594263896599641,1.4089363404382744,0.3794754400966196,12,8733,356.174623,1375.55,2774.8,3903.39,24.5188720253099,82.86,15.71,1.43,0,0,21.43,18.57,2.86,25.0,19.79,5.21,1.63,8.13,16.26,14.63,14.63,13.82,30.89,98.57,91.43,97.14,100.0,50.0,50.0,1.05,1.58,2.63,5.26,6.32,11.58,9.47,11.58,21.05,18.95,21.06,40.01,15.26,9.47,24.73,9.0,10.0,11.0,7.0,2.0,1.0,1.0,2.75,66.27301873320428,66.27301873320428,43.8368157766559,87.6736315533118,26.94062491014559,26.62717354319657,19.77712297120983,20.03549502348188,22.718011587502826,21.848508664618407,32.348993778463246,31.781601972858304,0.8322959971151818,0.8322959971151818,-11.88918494199723,-23.77836988399446,2.7609493931390623,1.5920329349691278,2.1964418212881127,1.4503328654316496,2.839552928648662,1.4553339936269665,3.0201615457003492,1.6952978683409285,48.0,12.0,3.0,60.0,63.0,63.0
