municerca,date,tp,t2m,d2m,t2m_min,t2m_max,tp_anom,t2m_anom,d2m_anom,t2m_min_anom,t2m_max_anom
MUNICERCA 3,2021-06-13,0.014497339725494385,16.275102548261913,10.580389778485067,12.821078370172813,21.40582135856372,0.00442881423773037,2.2865158787638946,3.091297492057253,2.824598742351632,2.21791784836407
MUNICERCA 3,2021-06-14,0.0008523463038727641,13.270350191036918,8.064155630207708,10.433089718750884,15.96861716570573,-5.321062827658736,0.6214538677269124,1.7307515342400976,1.0033825518672033,-0.7330477377230927
MUNICERCA 3,2021-06-15,0.014069464057683945,8.630675829445682,1.0579803887951542,5.617577787972957,11.064348865777276,-0.5906354559223271,-1.8702222138689333,-3.0409151927681592,-0.25550570812079426,-4.765889306965779
MUNICERCA 3,2021-06-16,28.673455964209236,6.069514597457446,0.7119354407068355,4.779023612253805,8.453662842014646,22.658363232374175,-4.265502024026249,-3.7845546821677423,-2.2005519899597368,-6.488628417750981
MUNICERCA 3,2021-06-17,2.7814726196297457,5.4502065267381505,1.4977866382268683,2.318915254216379,9.407305820392276,1.9022307395123477,-3.9170390732204816,-2.9419453345205104,-3.204712132936399,-4.585713792237932
MUNICERCA 3,2021-06-18,0.10843094328303711,7.391657056055788,1.9233569833704558,5.073098184536472,9.784229366996266,-0.07772854464967638,-2.8602288984831934,-2.7752057179243637,-1.074372247321166,-5.955626590034982
MUNICERCA 3,2021-06-19,0.028664874116442206,8.461032168658637,2.939578911647331,4.928291119861948,12.216369709758085,-0.513203253256398,-2.776785426081489,-2.180960161502032,-2.374108239947081,-3.447148899182886
MUNICERCA 3,2021-06-20,0.017604844644665718,8.244812778874632,3.705786359592509,3.8429612738517487,13.45650311924124,-0.5317626733927884,-2.318726991039783,-1.688340590777432,-2.4904080024069315,-2.6611285810625778
MUNICERCA 3,2021-06-21,0.006603736809616316,9.025320076442854,6.495010834814144,4.761094331457162,14.585350640715292,-7.091847348641132,-2.0403665097252235,-0.5643368053293574,-2.2216198341244344,-1.6586523160989424
MUNICERCA 3,2021-06-22,1.1424892293892397,11.09235910589125,8.49066801383151,8.454647409614394,14.630527469020265,-9.46720662885006,-0.151675131440563,0.9065375253298549,-0.10956428743421792,-0.391614051162027
MUNICERCA 3,2021-06-23,1.6620588700208687,13.341007147906057,9.16082345746413,11.66871252180984,16.226068900786387,-5.118869476876709,3.3959050708457816,6.3744563192373,4.917780718424424,2.1771024294322214
MUNICERCA 3,2021-06-24,0.11477971319483884,12.362303583773182,7.437850422287199,8.740361755404845,17.205844131970277,-0.2471202444454647,2.292202237863215,3.7753716084270477,2.3843450453353987,1.9979590679511805
