WKT;gid
"MULTIPOLYGON (((-63.1927388673626 -32.4228829470852,-63.1977214458862 -32.4221253330587,-63.1978646550279 -32.4142224653817,-63.1922497971734 -32.4161620803159,-63.1886721718525 -32.4174130858899,-63.1927388673626 -32.4228829470852,-63.1927388673626 -32.4228829470852)))";"40"
"MULTIPOLYGON (((-63.1978646550279 -32.4142224653817,-63.1977214458862 -32.4221253330587,-63.1927388673626 -32.4228829470852,-63.1961002575795 -32.4274035421372,-63.2000932503709 -32.4261537681871,-63.2007888387094 -32.410495357133,-63.19785188534 -32.4107281505129,-63.1978646550279 -32.4142224653817,-63.1978646550279 -32.4142224653817)))";"41"
"MULTIPOLYGON (((-63.182855326449 -32.4204721976628,-63.1770015009655 -32.4235502774082,-63.1872720149668 -32.4264958328438,-63.182855326449 -32.4204721976628,-63.182855326449 -32.4204721976628)))";"42"
"MULTIPOLYGON (((-63.1977423079193 -32.4107368346856,-63.1926312050868 -32.4111432396199,-63.1926104487764 -32.4111457564031,-63.1925905128833 -32.4111512661219,-63.1925719924361 -32.4111596043272,-63.1925554402167 -32.4111705221478,-63.1925413502618 -32.4111836937185,-63.1925301431169 -32.4111987259059,-63.1925221532848 -32.4112151700421,-63.1925176192408 -32.411232535317,-63.1925027028115 -32.4133037752218,-63.1924957992257 -32.4133353466554,-63.1924826019845 -32.4133654419695,-63.1924635037811 -32.413393165643,-63.1924390729002 -32.4134176927251,-63.1924100363083 -32.4134382933827,-63.1923772580223 -32.4134543546178,-63.1923417133994 -32.4134653985082,-63.1923044601142 -32.413471096429,-63.1909642057131 -32.4134410223183,-63.190913340254 -32.4134476043861,-63.1908638185821 -32.4134594529787,-63.1908163955002 -32.4134763875015,-63.1907717938254 -32.4134981498408,-63.1907306933732 -32.4135244082979,-63.1899341415184 -32.4140560749541,-63.1877630591448 -32.415517398731,-63.1877267872978 -32.4155445242345,-63.1876958151609 -32.415576023543,-63.1876708669456 -32.4156111601241,-63.1876525260111 -32.4156491123965,-63.1876412212236 -32.4156889929395,-63.1876372169275 -32.4157298692434,-63.1876406067635 -32.4157707855141,-63.1876513114781 -32.4158107850212,-63.1876690807761 -32.41584893247,-63.187693499172 -32.4158843358703,-63.1887300731599 -32.4172636321688,-63.1911588642368 -32.4163846407405,-63.1955144452452 -32.4149144606027,-63.1974933158322 -32.4142454408417,-63.1975374183305 -32.4142318603839,-63.1975788932336 -32.4142132533091,-63.1976169488533 -32.4141899747968,-63.1976508587715 -32.4141624691965,-63.1976799757068 -32.4141312615457,-63.1977037438697 -32.4140969475474,-63.1977217095715 -32.4140601821991,-63.1977372703955 -32.412392516679,-63.1977423079193 -32.4107368346856,-63.1977423079193 -32.4107368346856)))";"43"
"MULTIPOLYGON (((-63.1897721777338 -32.4271074929263,-63.190140737325 -32.4271951806297,-63.1937596003242 -32.4281743294692,-63.1940799744485 -32.4280211384731,-63.1961002575806 -32.4274035421395,-63.1941694095345 -32.424806890987,-63.1897721777338 -32.4271074929263,-63.1897721777338 -32.4271074929263)))";"44"
"MULTIPOLYGON (((-63.1852402271683 -32.4192180224559,-63.187143520217 -32.4218245643646,-63.1906002756203 -32.4200065589322,-63.1886721718679 -32.4174130859017,-63.1852402271683 -32.4192180224559,-63.1852402271683 -32.4192180224559)))";"45"
"MULTIPOLYGON (((-63.1906002756203 -32.4200065589322,-63.187143520217 -32.4218245643646,-63.1852402271683 -32.4192180224559,-63.1828903114793 -32.4204538002597,-63.1853980889872 -32.4238553481636,-63.1911715322959 -32.4207749160534,-63.1906002756203 -32.4200065589322,-63.1906002756203 -32.4200065589322)))";"46"
"MULTIPOLYGON (((-63.1682329082829 -32.4227783743438,-63.1700941255569 -32.4252452889345,-63.1711304444403 -32.4265740281659,-63.1749243363165 -32.4245885156606,-63.1682329082829 -32.4227783743438,-63.1682329082829 -32.4227783743438)))";"47"
"MULTIPOLYGON (((-63.2160992770614 -32.4384292738911,-63.2160819087091 -32.4422348107969,-63.2162761240792 -32.4422666870643,-63.216499779753 -32.442255566282,-63.2168371120237 -32.4421297263879,-63.2175413422173 -32.4418887293649,-63.217580704275 -32.4418628093577,-63.2176244919643 -32.4418426293928,-63.2176715521692 -32.4418287208933,-63.2177206455969 -32.4418214501281,-63.2177704794125 -32.4418210085666,-63.2178197412844 -32.441827407837,-63.2178867710432 -32.4418192920492,-63.2179529692793 -32.4418072286004,-63.2180180130769 -32.4417912763364,-63.2180782904948 -32.4417748151433,-63.2181363758514 -32.4417534249086,-63.2181917101662 -32.4417273114805,-63.2182437609344 -32.4416967261605,-63.2182920272517 -32.4416619632848,-63.2184419462906 -32.4415264229942,-63.2186444980131 -32.4415153350064,-63.2187077257398 -32.4414830156196,-63.2192725355638 -32.4411849893961,-63.2193239481572 -32.4411313462691,-63.2193809021084 -32.4410818915591,-63.2194429251242 -32.4410370353639,-63.2195095028793 -32.440997149648,-63.2195800832808 -32.4409625651586,-63.2196442920784 -32.4409400432908,-63.2197049375131 -32.4409112829035,-63.2197611802761 -32.4408766820307,-63.2198122419924 -32.4408367195367,-63.2198574159936 -32.4407919484876,-63.2198960770981 -32.4407429884979,-63.2199037124196 -32.4406994397688,-63.2199185027501 -32.4406572365952,-63.2199401533718 -32.4406172199054,-63.2199682328724 -32.4405801870596,-63.2200021817419 -32.4405468759617,-63.2200413235213 -32.4405179503566,-63.2200848782818 -32.4404939866048,-63.2201319781656 -32.4404754621987,-63.2201816846779 -32.4404627462478,-63.2202330073871 -32.4404560921247,-63.2202710714339 -32.4404541009735,-63.2203082614067 -32.4404469409769,-63.2203436077291 -32.4404347988025,-63.2203761888908 -32.440417991008,-63.2204051554733 -32.4403969557878,-63.2204297522947 -32.4403722415486,-63.2206524671835 -32.4393995982615,-63.2207585591579 -32.4388950354183,-63.2160992770614 -32.4384292738911,-63.2160992770614 -32.4384292738911)))";"48"
"MULTIPOLYGON (((-63.2129453312031 -32.43817193804,-63.2110106639081 -32.4380022162029,-63.2110226917121 -32.4401459260233,-63.2110161602385 -32.440172264529,-63.2110149602822 -32.4401991598586,-63.2110191262215 -32.4402258415756,-63.2110285387245 -32.4402515453619,-63.2110429281669 -32.4402755349121,-63.2110618823554 -32.4402971230262,-63.2110848583343 -32.4403156912948,-63.2111111979394 -32.4403307078139,-63.2111401466513 -32.4403417424225,-63.2111708752095 -32.4403484790244,-63.2113210072599 -32.4403697143658,-63.2114700387021 -32.4403959388227,-63.211617739077 -32.4404271118421,-63.2117638799836 -32.4404631852188,-63.2119082354313 -32.4405041031696,-63.2120505821899 -32.4405498024198,-63.2129299565107 -32.4406079663399,-63.2129453312031 -32.43817193804,-63.2129453312031 -32.43817193804)))";"49"
"MULTIPOLYGON (((-63.2127734917298 -32.4406666403068,-63.2120507637272 -32.4406273438006,-63.2110302258467 -32.4403606442423,-63.2109829365157 -32.4442163337778,-63.2117134013188 -32.4437498581408,-63.2122192570543 -32.4434925228924,-63.2123809154984 -32.44343856772,-63.2129716393862 -32.4433779228098,-63.2130909523004 -32.4432643908989,-63.2128084677083 -32.4427876890957,-63.2136375424741 -32.4423866477703,-63.2127772906585 -32.4414933924243,-63.2127618373379 -32.4414772303318,-63.2127498885206 -32.4414590570579,-63.2127417995862 -32.4414394131122,-63.212737811113 -32.4414188827445,-63.2127380417233 -32.4413980765683,-63.2127424845554 -32.4413776133996,-63.2127510074682 -32.4413581018523,-63.2127633569715 -32.4413401222371,-63.2127791657656 -32.4413242093015,-63.2127979636658 -32.4413108363259,-63.2127734917298 -32.4406666403068,-63.2127734917298 -32.4406666403068)))";"50"
"MULTIPOLYGON (((-63.2083786843803 -32.4351217804824,-63.2083808385233 -32.4360023508861,-63.2074959870825 -32.4364404119762,-63.2074984878924 -32.4373869658516,-63.2108501687897 -32.4376939603669,-63.2108736706965 -32.4338101928424,-63.2083786843803 -32.4351217804824,-63.2083786843803 -32.4351217804824)))";"51"
"MULTIPOLYGON (((-63.194881676377 -32.4365796550637,-63.2006368116158 -32.4335037005963,-63.197922398419 -32.429853835927,-63.1978684875744 -32.4298398471753,-63.1920847257031 -32.4328272901882,-63.194881676377 -32.4365796550637,-63.194881676377 -32.4365796550637)))";"52"
"MULTIPOLYGON (((-63.2038616367156 -32.4333564016655,-63.2013364224023 -32.4333246256453,-63.2013963528996 -32.4307551975361,-63.197922398419 -32.429853835927,-63.2033348381336 -32.4371311783885,-63.2038458244437 -32.4368507167781,-63.2038616367156 -32.4333564016655,-63.2038616367156 -32.4333564016655)))";"53"
"MULTIPOLYGON (((-63.1920847257031 -32.4328272901882,-63.1978684875744 -32.4298398471753,-63.193724923872 -32.4287645957481,-63.1903994448773 -32.430566150099,-63.1920847257031 -32.4328272901882,-63.1920847257031 -32.4328272901882)))";"54"
"MULTIPOLYGON (((-63.194881676377 -32.4365796550637,-63.1976277145764 -32.4402633496931,-63.2033348381336 -32.4371311783885,-63.2006368116158 -32.4335037005963,-63.194881676377 -32.4365796550637,-63.194881676377 -32.4365796550637)))";"55"
"MULTIPOLYGON (((-63.1880606768174 -32.438442038619,-63.1916839404242 -32.4434237071091,-63.1974902092361 -32.4403360157954,-63.1938065547632 -32.4353752261966,-63.1880606768174 -32.438442038619,-63.1880606768174 -32.438442038619)))";"56"
"MULTIPOLYGON (((-63.1906347616546 -32.4434596118972,-63.1909152500448 -32.4438324498598,-63.1916839404242 -32.4434237071091,-63.191400393929 -32.4430338794035,-63.1906347616546 -32.4434596118972,-63.1906347616546 -32.4434596118972)))";"57"
"MULTIPOLYGON (((-63.1899499110661 -32.442549261577,-63.1906347616546 -32.4434596118972,-63.191400393929 -32.4430338794035,-63.1907346688799 -32.4421186060021,-63.1899499110661 -32.442549261577,-63.1899499110661 -32.442549261577)))";"58"
"MULTIPOLYGON (((-63.189045963002 -32.4413476378222,-63.1899499110661 -32.442549261577,-63.1907346688799 -32.4421186060021,-63.1898572299246 -32.4409122233388,-63.189045963002 -32.4413476378222,-63.189045963002 -32.4413476378222)))";"59"
"MULTIPOLYGON (((-63.189045963002 -32.4413476378222,-63.1898572299246 -32.4409122233388,-63.1880606768174 -32.438442038619,-63.1879914409372 -32.4384789898012,-63.1872041379893 -32.4388991685022,-63.189045963002 -32.4413476378222,-63.189045963002 -32.4413476378222)))";"60"
"MULTIPOLYGON (((-63.1894396785423 -32.4377060513161,-63.1864434367786 -32.4336343481416,-63.1860113798976 -32.4338638283106,-63.1860580917642 -32.4339244937071,-63.1850300357421 -32.4344726466048,-63.1879914409372 -32.4384789898012,-63.1894396785423 -32.4377060513161,-63.1894396785423 -32.4377060513161)))";"61"
"MULTIPOLYGON (((-63.1896821197165 -32.432524887689,-63.1923503195054 -32.4361525235961,-63.1938065547632 -32.4353752261966,-63.1911348142664 -32.4317565203993,-63.1896821197165 -32.432524887689,-63.1896821197165 -32.432524887689)))";"62"
"MULTIPOLYGON (((-63.1874903321417 -32.4322060727669,-63.1909104310609 -32.43692106583,-63.1923503195054 -32.4361525235961,-63.1896821197165 -32.432524887689,-63.1888957012432 -32.4314556205482,-63.1874903321417 -32.4322060727669,-63.1874903321417 -32.4322060727669)))";"63"
"MULTIPOLYGON (((-63.1886203030899 -32.4349620092311,-63.1902799606572 -32.4372575708904,-63.1909104310609 -32.43692106583,-63.1892522493436 -32.4346351484769,-63.1886203030899 -32.4349620092311,-63.1886203030899 -32.4349620092311)))";"64"
"MULTIPOLYGON (((-63.1902799606572 -32.4372575708904,-63.1886203030899 -32.4349620092311,-63.1877511761496 -32.4354115376096,-63.1894396785423 -32.4377060513161,-63.1902799606572 -32.4372575708904,-63.1902799606572 -32.4372575708904)))";"65"
"MULTIPOLYGON (((-63.1884501096417 -32.4350500372252,-63.1866520249052 -32.4326537065557,-63.1859835019751 -32.4330106728604,-63.1864434367786 -32.4336343481416,-63.1877511761496 -32.4354115376096,-63.1884501096417 -32.4350500372252,-63.1884501096417 -32.4350500372252)))";"66"
"MULTIPOLYGON (((-63.1869382117364 -32.4330351217307,-63.1884501096417 -32.4350500372252,-63.1891761022394 -32.4346745342396,-63.187692628663 -32.4326223571459,-63.1869382117364 -32.4330351217307,-63.1869382117364 -32.4330351217307)))";"67"
"MULTIPOLYGON (((-63.1872494856552 -32.4328648152495,-63.1869693437234 -32.4324842679163,-63.1866520249052 -32.4326537065557,-63.1869382117364 -32.4330351217307,-63.1872494856552 -32.4328648152495,-63.1872494856552 -32.4328648152495)))";"68"
"MULTIPOLYGON (((-63.1869693437234 -32.4324842679163,-63.1872494856552 -32.4328648152495,-63.187692628663 -32.4326223571459,-63.1874191796426 -32.4322440666996,-63.1869693437234 -32.4324842679163,-63.1869693437234 -32.4324842679163)))";"69"
"MULTIPOLYGON (((-63.207543933304 -32.44273214734,-63.2074883892415 -32.4376351926755,-63.2054390654275 -32.4374217329167,-63.2052760798908 -32.4374086935957,-63.2051125331627 -32.4374025099693,-63.2049488259726 -32.437403197189,-63.204785359443 -32.4374107535712,-63.204622534107 -32.4374251606008,-63.2044607489269 -32.4374463829774,-63.2043004003173 -32.4374743687008,-63.2041418811735 -32.4375090491993,-63.2039855799097 -32.4375503394969,-63.2037168196434 -32.4376579312766,-63.20369249022 -32.4376709176564,-63.207543933304 -32.44273214734,-63.207543933304 -32.44273214734)))";"70"
"MULTIPOLYGON (((-63.207543933304 -32.44273214734,-63.2097520006114 -32.4456334849068,-63.2098244903342 -32.4456174686182,-63.2098945542007 -32.4455949926735,-63.2099613941472 -32.4455663130858,-63.2100242488344 -32.445531756531,-63.2100824023194 -32.4454917166263,-63.2101351922112 -32.4454466494466,-63.2101820172151 -32.4453970683292,-63.2102223439824 -32.4453435380267,-63.2102550965908 -32.445231783097,-63.2102946760038 -32.4451216281659,-63.2103409745345 -32.4450133728723,-63.21039386622 -32.4449073116867,-63.2104532071647 -32.4448037331103,-63.2105188359316 -32.4447029188904,-63.2105905739821 -32.4446051432538,-63.210668226161 -32.4445106721612,-63.2107515812283 -32.4444197625838,-63.2108404124335 -32.4443326618043,-63.2109344781326 -32.4442496067443,-63.2109269444747 -32.4410559792496,-63.2109197190107 -32.4379925266884,-63.2074883892415 -32.4376351926755,-63.207543933304 -32.44273214734,-63.207543933304 -32.44273214734)))";"71"
