WKT;ENTITYID;PAR_IDPARC;NOMENCLATU;NUM_PARC;NRO_CUENTA;DESIG_OFIC;FXF;VUT_VIGENT;VALUACION;VIGENCIA_D;PORCENTAJE;SUPERFICIE;VALUACION2;SUPERFICI1;VALUACION1;CANTIDAD_C;NRO_CUENT2;PED_NOMENC
"MULTIPOLYGON (((-63.2398933492742 -32.4023776066757,-63.239999490183 -32.4024453181858,-63.2400683795651 -32.4023691012208,-63.2403358963745 -32.4025402070234,-63.2403458315299 -32.4025289161127,-63.2399721746164 -32.4022903806838,-63.2398933492742 -32.4023776066757)))";"583175402";"776409";"1604220201058033";"033";EDIFICADO NoPH;MZ C LT 3 B;0.500000000000000;8960.00000;1098151.0400000;"0";0.0000000;187.00000;837760.0000;91.0000;260391.0400;"1";"160418258257";"1604"
"MULTIPOLYGON (((-63.2078969470839 -32.418349611771,-63.2078963518291 -32.4182349206936,-63.2076498410384 -32.418235608989,-63.2076504314629 -32.4183483274856,-63.2078969470839 -32.418349611771)))";"1377693";"794769";"1604220302229017";"017";BALDIO;MZ 11 LT 12;1.100000000000000;1050.00000;333795.0000000;"0";0.0000000;289.00000;333795.0000;0.0000;0.0000;"1";"160419165228";"1604"
"MULTIPOLYGON (((-63.2401047540925 -32.3980403141937,-63.2400521825292 -32.398005753015,-63.2399919581219 -32.3979661339984,-63.2399055238824 -32.39806351931,-63.2398952577515 -32.3980750926219,-63.2399098969905 -32.3980843641352,-63.2399574758423 -32.3981149896878,-63.2399884188324 -32.3981349385252,-63.2400226885687 -32.3981568536149,-63.2401177296087 -32.3980484616549,-63.2401047540925 -32.3980403141937)))";"642135402";"780300";"1604220202037012";"012";EDIFICADO PH;MZ 10-FRAC 3;1.400000000000000;4760.00000;2789555.9500000;"0";1.0000000;225.00000;1499400.0000;190.6900;2744160.4100;"2";"160441374043";"1604"
"MULTIPOLYGON (((-63.209335407329 -32.422772876501,-63.2093338531686 -32.422675376815,-63.2093381153454 -32.4225068542487,-63.2093388836206 -32.4224079417074,-63.2092808469133 -32.4224075030783,-63.2092348910651 -32.4224076170173,-63.209235107538 -32.4225013893886,-63.2092351064168 -32.422644824812,-63.2092336117432 -32.4227169677016,-63.2092294174958 -32.4227710799718,-63.209335407329 -32.422772876501)))";"552755402";"793554";"1604220302164025";"025";EDIFICADO NoPH;MZ 27-LTE 15;0.900000000000000;1260.00000;2493311.0400000;"0";0.0000000;400.00000;453600.0000;196.0000;2039711.0400;"1";"160408025505";"1604"
"MULTIPOLYGON (((-63.2512710942135 -32.4203522230782,-63.2512876527113 -32.4203330277759,-63.2513280553543 -32.4202861686854,-63.2513906463796 -32.4202136216748,-63.251368680002 -32.4201995755901,-63.2513537030014 -32.4201900243299,-63.2513021156656 -32.4201571568414,-63.2512401914148 -32.4202305478741,-63.2511792606373 -32.4203028097023,-63.251155417216 -32.420330755257,-63.2511196532278 -32.4203730962755,-63.2511067390967 -32.4203886209157,-63.251193600944 -32.4204422712289,-63.2512710942135 -32.4203522230782)))";"594725202";"767240";"1604220102044015";"015";EDIFICADO NoPH;MZ G LT 11;1.000000000000000;9240.00000;3452092.1600000;"0";0.0000000;313.00000;2892120.0000;121.0000;559972.1600;"1";"160409224617";"1604"
"MULTIPOLYGON (((-63.2489253879478 -32.4123471846606,-63.2489946665051 -32.4122683501713,-63.2487913572906 -32.4121418746762,-63.2487224740871 -32.4122203506686,-63.2487317919953 -32.412226250047,-63.2487424363963 -32.4122313014107,-63.2487883592356 -32.4122599542091,-63.2488203079293 -32.4122807442238,-63.2489005072893 -32.4123310277863,-63.2489253879478 -32.4123471846606)))";"756116602";"764323";"1604220101048037";"037";EDIFICADO NoPH;MZ 68 LT 37;1.100000000000000;15680.00000;5697920.0000000;"0";0.0000000;257.00000;4432736.0000;150.0000;1265184.0000;"1";"160423045393";"1604"
"MULTIPOLYGON (((-63.2143557191924 -32.4062397539813,-63.2143541553589 -32.4061402815368,-63.2141110007124 -32.4061415402809,-63.2141109033715 -32.4062410155515,-63.2143557191924 -32.4062397539813)))";"712471002";"789142";"1604220301200016";"016";EDIFICADO NoPH;MZ 21 LT 16;1.100000000000000;2170.00000;2415477.7200000;"0";0.0000000;253.00000;603911.0000;155.0000;1811566.7200;"1";"160419173255";"1604"
"MULTIPOLYGON (((-63.2263522738156 -32.4134641387929,-63.2264175398453 -32.4133901653335,-63.2262094856703 -32.413259856987,-63.2261443567298 -32.4133321300715,-63.2263522738156 -32.4134641387929)))";"712533802";"789874";"1604220302020011";"011";EDIFICADO NoPH;FRAC 3 LT 10;1.100000000000000;3780.00000;3091372.7200000;"0";0.0000000;217.00000;902286.0000;148.0000;2189086.7200;"1";"160404536483";"1604"
"MULTIPOLYGON (((-63.2461268712552 -32.4042316605338,-63.2461897914632 -32.4041605242943,-63.2460067942941 -32.4040495710378,-63.2459451958334 -32.4041181684171,-63.2461268712552 -32.4042316605338)))";"789157402";"775014";"1604220201030034";"034";EDIFICADO NoPH;MZ 93 LTE 8;1.100000000000000;11900.00000;2992058.4800000;"0";0.0000000;203.00000;2657270.0000;120.0000;334788.4800;"1";"160407492908";"1604"
"MULTIPOLYGON (((-63.245158145052 -32.4076343537064,-63.2451684115824 -32.4076227799813,-63.2451952371186 -32.4075925753147,-63.2451995418196 -32.40758749456,-63.245222061875 -32.407562088845,-63.2452276922679 -32.4075558783144,-63.2452469003584 -32.4075341424246,-63.2452637900001 -32.4075149472337,-63.2452677647946 -32.4075107125152,-63.2452816731424 -32.4074946229114,-63.2452982328707 -32.4074762737544,-63.2453215277724 -32.4074917273455,-63.2453328418973 -32.40749903209,-63.2453785370977 -32.4074448377463,-63.2452846977514 -32.4073847154748,-63.2452713874862 -32.4073762874154,-63.2450832722257 -32.4075860299396,-63.245158145052 -32.4076343537064)))";"1316951604";"774263";"1604220201014048";"048";EDIFICADO NoPH;MZ 79 LT A 1;1.200000000000000;17780.00000;7160299.2000000;"0";0.0000000;229.00000;4885944.0000;340.0000;2274355.2000;"1";"160416634928";"1604"
