WKT;gid
"MULTILINESTRING ((-63.2662683629985 -32.415355032837,-63.265533653642 -32.4161872795029))";"164"
"MULTILINESTRING ((-63.265533653642 -32.4161872795029,-63.2664872339804 -32.4167951228426))";"165"
"MULTILINESTRING ((-63.2664872339804 -32.4167951228426,-63.2657574952976 -32.4176217692652))";"166"
"MULTILINESTRING ((-63.2648008156968 -32.4170096887622,-63.2657574952976 -32.4176217692652))";"167"
"MULTILINESTRING ((-63.2648008156968 -32.4170096887622,-63.2640763181526 -32.4178166562158))";"168"
"MULTILINESTRING ((-63.2631041148843 -32.4172006276347,-63.2640763181526 -32.4178166562158))";"169"
"MULTILINESTRING ((-63.2657574952976 -32.4176217692652,-63.2654055254173 -32.4180308254511))";"170"
"MULTILINESTRING ((-63.2657574952976 -32.4176217692652,-63.2667566499676 -32.4182486314287))";"171"
"MULTILINESTRING ((-63.2640763181526 -32.4178166562158,-63.26504791203 -32.4184379086499))";"172"
"MULTILINESTRING ((-63.2654055254173 -32.4180308254511,-63.26504791203 -32.4184379086499))";"173"
"MULTILINESTRING ((-63.2640763181526 -32.4178166562158,-63.2633175062574 -32.4186691045176))";"174"
"MULTILINESTRING ((-63.2628895337863 -32.4183582066392,-63.2632877902947 -32.4185983130142,-63.2633175062574 -32.4186691045176))";"175"
"MULTILINESTRING ((-63.2654055254173 -32.4180308254511,-63.2665966954893 -32.4187702740063))";"176"
"MULTILINESTRING ((-63.26504791203 -32.4184379086499,-63.2660128117084 -32.4190558311322))";"177"
"MULTILINESTRING ((-63.26504791203 -32.4184379086499,-63.2642796384574 -32.4192932759699))";"178"
"MULTILINESTRING ((-63.2633175062574 -32.4186691045176,-63.263342489987 -32.4187554814527,-63.2641832316419 -32.4192839931165,-63.2642796384574 -32.4192932759699))";"179"
"MULTILINESTRING ((-63.2660128117084 -32.4190558311322,-63.2664718977475 -32.4193536121419))";"180"
"MULTILINESTRING ((-63.2660128117084 -32.4190558311322,-63.2652740007715 -32.4198779849135))";"181"
"MULTILINESTRING ((-63.2642796384574 -32.4192932759699,-63.2643639128981 -32.4193053063163,-63.2652740007715 -32.4198779849135))";"182"
"MULTILINESTRING ((-63.2642796384574 -32.4192932759699,-63.2635749658756 -32.4200886835304))";"183"
"MULTILINESTRING ((-63.2652740007715 -32.4198779849135,-63.2662499526234 -32.4204885779097))";"184"
"MULTILINESTRING ((-63.2652740007715 -32.4198779849135,-63.2645439050481 -32.4207038131896))";"185"
"MULTILINESTRING ((-63.2635749658756 -32.4200886835304,-63.2645439050481 -32.4207038131896))";"186"
"MULTILINESTRING ((-63.2635749658756 -32.4200886835304,-63.2626041535642 -32.4211676042438))";"187"
"MULTILINESTRING ((-63.2662499526234 -32.4204885779097,-63.2655135100325 -32.4213239837135))";"188"
"MULTILINESTRING ((-63.2645439050481 -32.4207038131896,-63.2655135100325 -32.4213239837135))";"189"
"MULTILINESTRING ((-63.2645439050481 -32.4207038131896,-63.2638219862866 -32.421530972677))";"190"
"MULTILINESTRING ((-63.2655135100325 -32.4213239837135,-63.2662274819846 -32.4217786742604))";"191"
"MULTILINESTRING ((-63.2638219862866 -32.421530972677,-63.2647945376089 -32.4221393294986))";"192"
"MULTILINESTRING ((-63.2655135100325 -32.4213239837135,-63.2647945376089 -32.4221393294986))";"193"
"MULTILINESTRING ((-63.2592774765002 -32.4123056287091,-63.2603734956631 -32.413012328668))";"194"
"MULTILINESTRING ((-63.2622828878034 -32.4128370353781,-63.2633395004021 -32.4135083524365))";"195"
"MULTILINESTRING ((-63.2622828878034 -32.4128370353781,-63.2614781289262 -32.413714221786))";"196"
