id,paradas,linea,lon,lat
paradas_omnibus.243,,103,-63.2446657,-32.4058447
paradas_omnibus.244,,103,-63.2468919,-32.4072623
paradas_omnibus.245,,103,-63.2472792,-32.3987411
paradas_omnibus.246,,103,-63.2581981,-32.3837867
paradas_omnibus.247,,103,-63.2508728,-32.3884527
paradas_omnibus.248,,103,-63.2482818,-32.3913224
paradas_omnibus.249,,103,-63.2443499,-32.4026483
paradas_omnibus.250,,104,-63.233112,-32.4145103
paradas_omnibus.251,,104,-63.23588,-32.411304
paradas_omnibus.252,,104,-63.2374384,-32.4095717
paradas_omnibus.253,,104,-63.2395628,-32.4073593
paradas_omnibus.254,,104,-63.2412472,-32.4054889
paradas_omnibus.255,,104,-63.2444068,-32.4019448
paradas_omnibus.256,,104,-63.247308,-32.3987081
paradas_omnibus.257,,104,-63.2444924,-32.4025473
paradas_omnibus.258,,104,-63.2418987,-32.4054368
paradas_omnibus.259,,104,-63.2404799,-32.407022
paradas_omnibus.260,,104,-63.2372612,-32.4107719
paradas_omnibus.261,,104,-63.2354588,-32.412837
paradas_omnibus.262,,104,-63.2336214,-32.41483
paradas_omnibus.263,,104,-63.260625,-32.3826646
paradas_omnibus.264,,104,-63.2476148,-32.3988983
paradas_omnibus.265,Centro de  Transferencia,12,-63.2461354,-32.4103727
paradas_omnibus.266,jose ingnieros,12,-63.2428492,-32.4093765
paradas_omnibus.267,Lisandro catamarca,12,-63.2431897,-32.4075495
paradas_omnibus.268,san juan españa,12,-63.2417655,-32.4056716
paradas_omnibus.269,san juan planes,12,-63.2382291,-32.4034395
paradas_omnibus.270,salta y planes,12,-63.239609,-32.4013848
paradas_omnibus.271,planes y velez,12,-63.2414605,-32.3993718
paradas_omnibus.272,L y Planes-Tte. Ibañez,12,-63.243127,-32.3977451
paradas_omnibus.273,independencia ibanez,12,-63.2413613,-32.3965399
paradas_omnibus.274,ibanes y arines,12,-63.2392938,-32.3952297
paradas_omnibus.275,ibanez y poretti,12,-63.2361979,-32.3932048
paradas_omnibus.276,Tte. Ibañez-Int. Reyno,12,-63.2341575,-32.3918847
paradas_omnibus.277,reyno y velez,12,-63.2317685,-32.394595
paradas_omnibus.278,reyno y rioja,12,-63.230136,-32.3964646
