WKT;gid
"MULTILINESTRING ((-63.2732738996136 -32.4138332026256,-63.2731919578915 -32.4148633642567))";"105"
"MULTILINESTRING ((-63.2724379975706 -32.4132643823636,-63.2733175475727 -32.4133247889067))";"106"
"MULTILINESTRING ((-63.2733175475727 -32.4133247889067,-63.2732738996136 -32.4138332026256))";"107"
"MULTILINESTRING ((-63.2724786674597 -32.4127539914535,-63.2733581970369 -32.4128092577761))";"108"
"MULTILINESTRING ((-63.2733581970369 -32.4128092577761,-63.2733175475727 -32.4133247889067))";"109"
"MULTILINESTRING ((-63.2730896226354 -32.4161824017523,-63.2739788542561 -32.4162357488921))";"110"
"MULTILINESTRING ((-63.2731919578915 -32.4148633642567,-63.2740821358474 -32.4149175202478))";"111"
"MULTILINESTRING ((-63.2732738996136 -32.4138332026256,-63.2741634312914 -32.413887900538))";"112"
"MULTILINESTRING ((-63.2725686179144 -32.4117336417271,-63.2724786674597 -32.4127539914535))";"113"
"MULTILINESTRING ((-63.2726431183769 -32.4108320319822,-63.2725686179144 -32.4117336417271))";"114"
"MULTILINESTRING ((-63.2725686179144 -32.4117336417271,-63.2734471708404 -32.411785573089))";"115"
"MULTILINESTRING ((-63.2734471708404 -32.411785573089,-63.2733581970369 -32.4128092577761))";"116"
"MULTILINESTRING ((-63.2735290858702 -32.4108893214774,-63.2734471708404 -32.411785573089))";"117"
"MULTILINESTRING ((-63.26290843111 -32.4120436301449,-63.2631413482912 -32.4121910318123))";"118"
"MULTILINESTRING ((-63.2631413482912 -32.4121910318123,-63.2639954229306 -32.4127447265051))";"119"
"MULTILINESTRING ((-63.2631413482912 -32.4121910318123,-63.2640893088066 -32.4122398174923))";"120"
"MULTILINESTRING ((-63.2640893088066 -32.4122398174923,-63.2640269413727 -32.4126868232452,-63.2639954229306 -32.4127447265051))";"121"
"MULTILINESTRING ((-63.2629765352772 -32.4111510209326,-63.2641920010013 -32.4112186350806))";"122"
"MULTILINESTRING ((-63.2641920010013 -32.4112186350806,-63.2641439169956 -32.4116082039397,-63.2640893088066 -32.4122398174923))";"123"
"MULTILINESTRING ((-63.2640893088066 -32.4122398174923,-63.2653223685624 -32.4123200813322))";"124"
"MULTILINESTRING ((-63.2653924047467 -32.4112970001067,-63.2653223685624 -32.4123200813322))";"125"
"MULTILINESTRING ((-63.2641920010013 -32.4112186350806,-63.2653924047467 -32.4112970001067))";"126"
"MULTILINESTRING ((-63.2653223685624 -32.4123200813322,-63.2665221286422 -32.4123916007675))";"127"
"MULTILINESTRING ((-63.2653924047467 -32.4112970001067,-63.2666091703849 -32.4113716218779))";"128"
